OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1042,24,2,5/25/2018 10:57:00 PM,3000 BLOCK KENSINGTON AVE,300,Robbery Firearm,EPD,242,Violent Crime,Robbery,5/25/2018 10:57:01 PM,18,57,1,700,-75.118,39.994
1043,24,2,5/21/2018 10:35:00 PM,3000 BLOCK F ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,5/21/2018 10:35:01 PM,18,35,1,702,-75.1181,39.994
1044,24,2,9/18/2018 11:09:00 AM,1800 BLOCK E CLEARFIELD ST,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,9/18/2018 11:09:01 AM,7,9,1,704,-75.1152,39.9944
1045,24,2,8/30/2018 10:40:00 PM,3000 BLOCK POTTER ST,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,8/30/2018 10:40:01 PM,18,40,1,717,-75.1178,39.9946
1046,24,2,9/29/2018 8:19:00 PM,2000 BLOCK E ORLEANS ST,300,Robbery Firearm,EPD,242,Violent Crime,Robbery,9/29/2018 8:19:01 PM,16,19,1,734,-75.1167,39.9914
1047,24,2,10/21/2018 8:28:00 PM,2900 BLOCK RUTH ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,10/21/2018 8:28:01 PM,16,28,1,734,-75.12,39.9923
1048,24,2,8/17/2018 8:25:00 PM,3100 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,8/17/2018 8:25:01 PM,16,25,1,738,-75.1158,39.9952
1049,24,2,10/17/2018 2:19:00 PM,3100 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,10/17/2018 2:19:01 PM,10,19,1,739,-75.1135,39.9964
1050,24,2,10/9/2018 7:16:00 PM,3000 BLOCK D ST,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,10/9/2018 7:16:01 PM,15,16,1,743,-75.1218,39.9951
1051,24,2,11/3/2018 4:04:00 PM,3100 BLOCK F ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,11/3/2018 4:04:01 PM,12,4,1,750,-75.1178,39.9954
1052,24,2,4/29/2018 10:45:00 PM,3000 BLOCK KENSINGTON AVE,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,4/29/2018 10:45:01 PM,18,45,1,753,-75.118,39.994
1053,24,2,8/13/2018 10:52:00 AM,3100 BLOCK KENSINGTON AV,600,Thefts,EPD,242,Property Crime,Larceny,8/13/2018 10:52:01 AM,6,52,1,756,-75.115,39.9955
1054,24,2,1/6/2018 6:40:00 AM,3000 BLOCK RORER ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,1/6/2018 6:40:01 AM,1,40,1,761,-75.121,39.9944
1055,24,2,1/12/2018 12:25:00 AM,3100 BLOCK CUSTER ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,1/12/2018 12:25:01 AM,19,25,1,761,-75.1168,39.9954
1056,24,2,8/28/2018 5:51:00 PM,3100 BLOCK FRANKFORD AVE,600,Thefts,EPD,242,Property Crime,Larceny,8/28/2018 5:51:01 PM,13,51,1,762,-75.1128,39.9918
1057,24,2,3/30/2018 4:27:00 AM,2800 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,3/30/2018 4:27:01 AM,0,27,1,769,-75.1211,39.9922
1058,24,2,4/4/2018 4:22:00 AM,2900 BLOCK E ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,4/4/2018 4:22:01 AM,0,22,1,770,-75.1203,39.9932
1059,24,2,9/12/2018 12:42:00 AM,3000 BLOCK E ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,9/12/2018 12:42:01 AM,20,42,1,770,-75.12,39.9942
1060,24,2,10/10/2018 2:51:00 PM,3100 BLOCK F ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,10/10/2018 2:51:01 PM,10,51,1,771,-75.1178,39.9954
1061,24,2,1/13/2018 10:16:00 AM,2900 BLOCK RUTH ST,600,Thefts,EPD,242,Property Crime,Larceny,1/13/2018 10:16:01 AM,5,16,1,772,-75.1188,39.9929
1062,24,2,1/12/2018 6:43:00 PM,500 BLOCK E CLEARFIELD ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,1/12/2018 6:43:01 PM,13,43,1,775,-75.1215,39.9944
1063,24,2,10/1/2018 2:57:00 AM,3100 BLOCK STOUTON ST,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,10/1/2018 2:57:01 AM,22,57,1,776,-75.1149,39.9947
1064,24,2,3/13/2018 12:23:00 AM,600 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,3/13/2018 12:23:01 AM,20,23,1,785,-75.1181,39.9971
1065,24,2,10/31/2018 11:17:00 PM,3100 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,10/31/2018 11:17:01 PM,19,17,1,786,-75.1133,39.9965
